ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,datetime,temporada,elo_mandante_antes,elo_visitante_antes
66,6,27/04/2003,16:00,Goias,Juventude,,,,,Goias, Serra Dourada,7,0,GO,RS,2003-04-27 16:00:00,2003,1455.5445195957204,1484.0347628722536
67,6,27/04/2003,16:00,Figueirense,Ponte Preta,,,,,-, Orlando Scarpelli,0,0,SC,SP,2003-04-27 16:00:00,2003,1465.352534057285,1499.2019637891328
65,6,27/04/2003,16:00,Corinthians,Flamengo,,,,,-, Pacaembu,1,1,SP,RJ,2003-04-27 16:00:00,2003,1485.2445801325982,1528.4875525626946
71,6,27/04/2003,18:00,Paysandu,Sao Paulo,,,,,Paysandu, Mangueirão,5,2,PA,SP,2003-04-27 18:00:00,2003,1484.7640568594002,1516.7085480037724
72,6,27/04/2003,18:00,Vasco,Sao Caetano,,,,,Vasco, São Januário,1,0,RJ,SP,2003-04-27 18:00:00,2003,1470.877758733739,1516.671829090904
73,7,03/05/2003,16:00,Flamengo,Vitoria,,,,,Flamengo, Maracanã,2,1,RJ,BA,2003-05-03 16:00:00,2003,1526.5063598293195,1497.1338416862536
74,7,03/05/2003,16:00,Bahia,Gremio,,,,,Bahia, Fonte Nova,2,1,BA,RS,2003-05-03 16:00:00,2003,1459.4135498739781,1500.6948290225077
75,7,03/05/2003,18:00,Cruzeiro,Athletico-PR,,,,,Cruzeiro, Mineirão,5,2,MG,PR,2003-05-03 18:00:00,2003,1539.038385622888,1486.0489419489343
82,7,04/05/2003,16:00,Coritiba,Parana,,,,,Coritiba, Couto Pereira,2,1,PR,PR,2003-05-04 16:00:00,2003,1492.1106351780647,1528.1128928183718
81,7,04/05/2003,16:00,Juventude,Guarani,,,,,-, Alfredo Jaconi,1,1,RS,SP,2003-05-04 16:00:00,2003,1466.7256715865765,1486.6312697596602
80,7,04/05/2003,16:00,Ponte Preta,Atletico-MG,,,,,Ponte Preta, Moisés Lucarelli,2,1,SP,MG,2003-05-04 16:00:00,2003,1497.648053366322,1539.2176257986944
77,7,04/05/2003,16:00,Sao Paulo,Figueirense,,,,,Sao Paulo, Morumbi,3,2,SP,SC,2003-05-04 16:00:00,2003,1499.2415812262943,1466.9064444800958
78,7,04/05/2003,16:00,Sao Caetano,Paysandu,,,,,Sao Caetano, Anacleto Campanella,2,0,SP,PA,2003-05-04 16:00:00,2003,1498.5750624143195,1502.2310236368783
76,7,04/05/2003,16:00,Fortaleza,Corinthians,,,,,Corinthians, Castelão,1,2,CE,SP,2003-05-04 16:00:00,2003,1484.2787414589193,1487.2257728659733
79,7,04/05/2003,16:00,Internacional,Goias,,,,,Internacional, Beira Rio,2,1,RS,GO,2003-05-04 16:00:00,2003,1542.5881837777724,1472.8536108813976
84,7,04/05/2003,18:00,Fluminense,Vasco,,,,,-, Maracanã,0,0,RJ,RJ,2003-05-04 18:00:00,2003,1507.4101154334376,1488.9745254103236
83,7,04/05/2003,18:00,Criciuma,Santos,,,,,Santos, Heriberto Hulse,1,3,SC,SP,2003-05-04 18:00:00,2003,1496.552055094824,1533.8808268281932
87,8,10/05/2003,16:00,Parana,Ponte Preta,,,,,Parana, Pinheirão,3,2,PR,SP,2003-05-10 16:00:00,2003,1510.4608364446087,1515.5533200558789
85,8,10/05/2003,16:00,Goias,Flamengo,,,,,-, Serra Dourada,1,1,GO,RJ,2003-05-10 16:00:00,2003,1460.022566279301,1541.1569187425187
86,8,10/05/2003,16:00,Santos,Cruzeiro,,,,,Cruzeiro, Vila Belmiro,0,2,SP,MG,2003-05-10 16:00:00,2003,1548.16835761197,1552.6168781464396
88,8,10/05/2003,18:00,Corinthians,Criciuma,,,,,Corinthians, Pacaembu,3,0,SP,SC,2003-05-10 18:00:00,2003,1503.090060308994,1482.2645243110474
89,8,11/05/2003,16:00,Vasco,Bahia,,,,,-, São Januário,1,1,RJ,BA,2003-05-11 16:00:00,2003,1489.8227198063732,1477.3057271341174
90,8,11/05/2003,16:00,Paysandu,Fluminense,,,,,-, Mangueirão,2,2,PA,RJ,2003-05-11 16:00:00,2003,1486.062666614504,1506.561921037388
91,8,11/05/2003,16:00,Atletico-MG,Sao Paulo,,,,,-, Mineirão,2,2,MG,SP,2003-05-11 16:00:00,2003,1521.3123591091376,1513.7567776272679
92,8,11/05/2003,16:00,Vitoria,Fortaleza,,,,,Vitoria, Barradão,2,1,BA,CE,2003-05-11 16:00:00,2003,1482.4832827730545,1468.4144540158986
93,8,11/05/2003,16:00,Guarani,Internacional,,,,,Guarani, Brinco de Ouro,3,0,SP,RS,2003-05-11 16:00:00,2003,1485.7155847734487,1555.419228379869
94,8,11/05/2003,16:00,Athletico-PR,Juventude,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RS,2003-05-11 16:00:00,2003,1472.4704494253826,1467.641356572788
95,8,11/05/2003,16:00,Figueirense,Sao Caetano,,,,,Figueirense, Orlando Scarpelli,3,0,SC,SP,2003-05-11 16:00:00,2003,1452.3912480791223,1514.7434194366938
96,8,11/05/2003,18:00,Gremio,Coritiba,,,,,Gremio, Olímpico,1,0,RS,PR,2003-05-11 18:00:00,2003,1482.8026517623684,1509.7626915518279
97,9,17/05/2003,16:00,Fluminense,Figueirense,,,,,Fluminense, Maracanã,3,0,RJ,SC,2003-05-17 16:00:00,2003,1505.6189894047427,1471.232236764131
98,9,17/05/2003,16:00,Sao Caetano,Atletico-MG,,,,,Sao Caetano, Anacleto Campanella,2,0,SP,MG,2003-05-17 16:00:00,2003,1495.9024307516852,1520.9644665633464
99,9,17/05/2003,18:00,Juventude,Santos,,,,,-, Alfredo Jaconi,1,1,RS,SP,2003-05-17 18:00:00,2003,1451.8637301972237,1532.3732083591128
105,9,18/05/2003,16:00,Ponte Preta,Gremio,,,,,Ponte Preta, Moisés Lucarelli,2,1,SP,RS,2003-05-18 16:00:00,2003,1499.3188193118533,1500.0417215251346
106,9,18/05/2003,16:00,Criciuma,Vitoria,,,,,-, Heriberto Hulse,1,1,SC,BA,2003-05-18 16:00:00,2003,1467.222428745877,1497.8357431528593
104,9,18/05/2003,16:00,Fortaleza,Goias,,,,,Fortaleza, Castelão,1,0,CE,GO,2003-05-18 16:00:00,2003,1453.0619936360938,1463.6924720031905
101,9,18/05/2003,16:00,Internacional,Athletico-PR,,,,,-, Beira Rio,1,1,RS,PR,2003-05-18 16:00:00,2003,1536.2516414787676,1488.248075800947
102,9,18/05/2003,16:00,Coritiba,Vasco,,,,,-, Couto Pereira,1,1,PR,RJ,2003-05-18 16:00:00,2003,1492.5236217890615,1489.2465402503985
100,9,18/05/2003,16:00,Bahia,Paysandu,,,,,Bahia, Fonte Nova,2,0,BA,PA,2003-05-18 16:00:00,2003,1477.8819066900921,1487.0055982471492
103,9,18/05/2003,16:00,Cruzeiro,Corinthians,,,,,-, Mineirão,1,1,MG,SP,2003-05-18 16:00:00,2003,1568.4120273992967,1518.1321558741643
107,9,18/05/2003,18:00,Flamengo,Guarani,,,,,-, Maracanã,1,1,RJ,SP,2003-05-18 18:00:00,2003,1537.487013018629,1504.88317167455
108,9,18/05/2003,18:00,Sao Paulo,Parana,,,,,Sao Paulo, Morumbi,2,0,SP,PR,2003-05-18 18:00:00,2003,1514.104670173059,1526.6953371886343
109,10,24/05/2003,16:00,Atletico-MG,Fluminense,,,,,Atletico-MG,  Independência,3,0,MG,RJ,2003-05-24 16:00:00,2003,1503.8123148237244,1520.0405714438814
110,10,24/05/2003,16:00,Parana,Sao Caetano,,,,,-, Pinheirão,1,1,PR,SP,2003-05-24 16:00:00,2003,1510.1157692295399,1513.0545824913072
111,10,24/05/2003,16:00,Corinthians,Juventude,,,,,Corinthians, Pacaembu,3,0,SP,RS,2003-05-24 16:00:00,2003,1520.4315994488036,1455.5063621126699
112,10,24/05/2003,18:00,Vasco,Ponte Preta,,,,,Vasco, São Januário,1,0,RJ,SP,2003-05-24 18:00:00,2003,1489.3974509570878,1515.352110141012
118,10,25/05/2003,16:00,Figueirense,Bahia,,,,,Figueirense, Orlando Scarpelli,1,0,SC,BA,2003-05-25 16:00:00,2003,1456.8106547249922,1494.3019716600795
116,10,25/05/2003,16:00,Gremio,Sao Paulo,,,,,Sao Paulo, Olímpico,1,2,RS,SP,2003-05-25 16:00:00,2003,1484.008430695976,1530.6842381321535
117,10,25/05/2003,16:00,Guarani,Fortaleza,,,,,Guarani, Brinco de Ouro,2,1,SP,CE,2003-05-25 16:00:00,2003,1506.3802421287116,1469.5513925450132
114,10,25/05/2003,16:00,Paysandu,Coritiba,,,,,Coritiba, Mangueirão,1,3,PA,PR,2003-05-25 16:00:00,2003,1470.5855332771619,1492.3727110823722
113,10,25/05/2003,16:00,Athletico-PR,Flamengo,,,,,Athletico-PR, Arena da Baixada,4,1,PR,RJ,2003-05-25 16:00:00,2003,1490.4447614518194,1535.9899425644676
115,10,25/05/2003,16:00,Goias,Criciuma,,,,,Criciuma, Serra Dourada,0,2,GO,SC,2003-05-25 16:00:00,2003,1447.203073094271,1468.6285868313214
119,10,25/05/2003,18:00,Vitoria,Cruzeiro,,,,,Vitoria, Barradão,2,1,BA,MG,2003-05-25 18:00:00,2003,1496.429585067415,1566.1125838246573
120,10,25/05/2003,18:00,Santos,Internacional,,,,,Santos, Vila Belmiro,2,1,SP,RS,2003-05-25 18:00:00,2003,1528.7305764436667,1534.0549558278951
121,11,31/05/2003,16:00,Fluminense,Athletico-PR,,,,,Fluminense,  Édson Passos,2,1,RJ,PR,2003-05-31 16:00:00,2003,1503.293775624274,1508.530262138835
122,11,31/05/2003,16:00,Cruzeiro,Criciuma,,,,,Cruzeiro, Mineirão,2,0,MG,SC,2003-05-31 16:00:00,2003,1546.9459104020236,1483.6431543081253
123,11,31/05/2003,16:00,Coritiba,Guarani,,,,,Coritiba, Couto Pereira,3,2,PR,SP,2003-05-31 16:00:00,2003,1507.3706875608605,1520.6905349415806
124,11,31/05/2003,16:00,Ponte Preta,Sao Caetano,,,,,-, Moisés Lucarelli,0,0,SP,SP,2003-05-31 16:00:00,2003,1498.159072383981,1512.919248366752
125,11,31/05/2003,18:00,Internacional,Paysandu,,,,,Internacional, Beira Rio,2,1,RS,PA,2003-05-31 18:00:00,2003,1517.8097782888663,1455.5875567986736
